year, latitude, longitude, cause of death, fatalities
1990, , , All Causes, 102697 
1990, , , Heart disease, 35158 
1990, , , Malignant neoplasms, 24443 
1990, , , Cerebrovascular disease, 6737 
1990, , , Pneumonia and influenza, 3957 
1990, , , Unintentional injuries, 3873 
1990, , , Unintentional injuries: motor vehicle, 1807 
1990, , , Unintentional injuries: all other, 2066 
1990, , , Chronic obstructive pulmonary disease and other allied diseases, 3814 
1990, , , Diabetes mellitus, 2247 
1990, , , Congenital anomalies and perinatal conditions, 1660 
1990, , , Cirrhosis of liver, 1376 
1990, , , Homicide, 1335 
1990, , , Nephritis, 1186 
1990, , , Suicide, 1148 
1990, , , All Causes, 315 
1990, , , Unintentional injuries, 115 
1990, , , Unintentional injury: motor vehicle, 26 
1990, , , Unintentional injuries: all other, 89 
1990, , , Congenital anomalies, 38 
1990, , , Malignant neoplasms, 24 
1990, , , Homicide, 23 
1990, , , Heart disease, 10 
1990, , , Pneumonia and influenza, 9 
1990, , , Meningitis, 6 
1990, , , Certain conditions originating in the perinatal period, 5 
1990, , , Infantile cerebral palsy, 5 
1990, , , Anemia, 5 
1990, , , All Causes, 350 
1990, , , Unintentional Injuries, 149 
1990, , , Unintentional injuries: motor vehicle, 78 
1990, , , Unintentional injuries: all other, 71 
1990, , , Malignant neoplasms, 37 
1990, , , Homicide, 36 
1990, , , Congenital anomalies, 22 
1990, , , Heart disease, 13 
1990, , , Infantile cerebral palsy, 9 
1990, , , Chronic obstructive pulmonary diseases and allied conditions, 7 
1990, , , Benign neoplasms, 7 
1990, , , All Causes, 1651 
1990, , , Unintentional Injuries, 610 
1990, , , Unintentional injuries: motor vehicle, 463 
1990, , , Unintentional injuries: all other, 147 
1990, , , Homicide, 474 
1990, , , Suicide, 192 
1990, , , Malignant neoplasms, 89 
1990, , , Heart disease, 53 
1990, , , Injuries undetermined origin whether accidentally or purposely inflicted, 21 
1990, , , HIV infection, 20 
1990, , , Congenital anomalies, 20 
1990, , , Chronic obstructive pulmonary diseases and allied diseases, 15 
1990, , , Pneumonia and influenza, 14 
1990, , , All Causes, 6453 
1990, , , Unintentional injuries, 1205 
1990, , , Unintentional injuries: motor vehicle, 610 
1990, , , Unintentional injuries: all other, 595 
1990, , , Malignant neoplasms, 1001 
1990, , , Heart disease, 763 
1990, , , HIV infection, 621 
1990, , , Homicide, 586 
1990, , , Suicide, 478 
1990, , , Chronic liver disease and cirrhosis, 342 
1990, , , Cerebrovascular disease, 169 
1990, , , Pneumonia and influenza, 118 
1990, , , Diabetes mellitus, 108 
1990, , , All Causes, 17860 
1990, , , Malignant neoplasms, 6720 
1990, , , Heart disease, 5214 
1990, , , Unintentional injuries, 703 
1990, , , Unintentional injuries: motor vehicle, 318 
1990, , , Unintentional injuries: all other, 385 
1990, , , Cerebrovascular disease, 690 
1990, , , Chronic liver disease and cirrhosis, 555 
1990, , , Chronic obstructive pulmonary disease and allied diseases, 542 
1990, , , Diabetes mellitus, 453 
1990, , , Pneumonia and influenza, 305 
1990, , , Suicide, 249 
1990, , , HIV infection, 180 
1990, , , All Causes, 73978 
1990, , , Heart disease, 29078 
1990, , , Malignant neoplasms, 16568 
1990, , , Cerebrovascular disease, 5859 
1990, , , Pneumonia and influenza, 3468 
1990, , , Chronic obstructive pulmonary diseases and other allied conditions, 3188 
1990, , , Diabetes mellitus, 1679 
1990, , , Unintentional injuries, 1040 
1990, , , Unintentional injuries: motor vehicle, 306 
1990, , , Unintentional injuries: all other, 734 
1990, , , Nephritis, 962 
1990, , , Septicemia, 841 
1990, , , General arteriosclerosis, 737 
1991, , , All Causes, 103871 
1991, , , Heart disease, 35561 
1991, , , Malignant neoplasms, 24388 
1991, , , Cerebrovascular disease, 6881 
1991, , , Chronic obstructive pulmonary diseases and other allied conditions, 3926 
1991, , , Pneumonia and influenza, 3924 
1991, , , Unintentional injuries, 3732 
1991, , , Unintentional injuries: motor vehicle, 1658 
1991, , , Unintentional injuries: all other, 2074 
