year, latitude, longitude, location, unemployment
2003, , , , 2751073 
2003, , , , 2753183 
2003, , , , 2754857 
2003, , , , 2755103 
2003, , , , 2753378 
2003, , , , 2750986 
2003, , , , 2749615 
2003, , , , 2750120 
2003, , , , 2752706 
2003, , , , 2756996 
2003, , , , 2761925 
2003, , , , 2766177 
2004, , , , 2768846 
2004, , , , 2769503 
2004, , , , 2768251 
2004, , , , 2765933 
2004, , , , 2763924 
2004, , , , 2763642 
2004, , , , 2765732 
2004, , , , 2769914 
2004, , , , 2775153 
2004, , , , 2780084 
2004, , , , 2784048 
2004, , , , 2787405 
2005, , , , 2791098 
2005, , , , 2795910 
2005, , , , 2801809 
2005, , , , 2808330 
2005, , , , 2815065 
2005, , , , 2821680 
2005, , , , 2828071 
2005, , , , 2834482 
2005, , , , 2841230 
2005, , , , 2848552 
2005, , , , 2856326 
2005, , , , 2863928 
2006, , , , 2873492 
2006, , , , 2879788 
2006, , , , 2884056 
2006, , , , 2885850 
2006, , , , 2885929 
2006, , , , 2885811 
2006, , , , 2887489 
2006, , , , 2891943 
2006, , , , 2898551 
2006, , , , 2905876 
2006, , , , 2912065 
2006, , , , 2915717 
2007, , , , 2886839 
2007, , , , 2885818 
2007, , , , 2883350 
2007, , , , 2880394 
2007, , , , 2877787 
2007, , , , 2876710 
2007, , , , 2877749 
2007, , , , 2881028 
2007, , , , 2886395 
2007, , , , 2892749 
2007, , , , 2899008 
2007, , , , 2904781 
2008, , , , 2904381 
2008, , , , 2907245 
2008, , , , 2908126 
2008, , , , 2906897 
2008, , , , 2903684 
2008, , , , 2899467 
2008, , , , 2894882 
2008, , , , 2890212 
2008, , , , 2884922 
2008, , , , 2878127 
2008, , , , 2869455 
2008, , , , 2859299 
2009, , , , 2848981 
2009, , , , 2839276 
2009, , , , 2831284 
2009, , , , 2824898 
2009, , , , 2819106 
2009, , , , 2813466 
2009, , , , 2807837 
2009, , , , 2802696 
2009, , , , 2798477 
2009, , , , 2795169 
2009, , , , 2793644 
2009, , , , 2795168 
2010, , , , 2800741 
2010, , , , 2809453 
2010, , , , 2818886 
2010, , , , 2827049 
2010, , , , 2832942 
2010, , , , 2836467 
2010, , , , 2838203 
2010, , , , 2839703 
2010, , , , 2842009 
2010, , , , 2845804 
2010, , , , 2850636 
2010, , , , 2855939 
2011, , , , 2861634 
2011, , , , 2866812 
2011, , , , 2869533 
2011, , , , 2868694 
2011, , , , 2865093 
2011, , , , 2861523 
2011, , , , 2860797 
2011, , , , 2864046 
2011, , , , 2870751 
2011, , , , 2879372 
2011, , , , 2887816 
2011, , , , 2894901 
2012, , , , 2900569 
2012, , , , 2905158 
2012, , , , 2907655 
2012, , , , 2907360 
2012, , , , 2905176 
2012, , , , 2903264 
2012, , , , 2903447 
2012, , , , 2906442 
2012, , , , 2911801 
2012, , , , 2917710 
2012, , , , 2922463 
2012, , , , 2925600 
2013, , , , 2927444 
2013, , , , 2928690 
2013, , , , 2929100 
2013, , , , 2928528 
2013, , , , 2925976 
2013, , , , 2922014 
2013, , , , 2918215 
2013, , , , 2916002 
2013, , , , 2915460 
2013, , , , 2916090 
2013, , , , 2917112 
2013, , , , 2919013 
2014, , , , 2927735 
2014, , , , 2933498 
2014, , , , 2934224 
2014, , , , 2939047 
2014, , , , 2940369 
2014, , , , 2933137 
2014, , , , 2916584 
2014, , , , 2906229 
2014, , , , 2908870 
2014, , , , 2915305 
