time, x, y, type, size
2015-01-01, 46.3505, -123.6004, NE, 2
2015-01-01, 40.937, -73.8103, ENE, 1.14
2015-01-01, 40.6907, -74.2665, SSE, 0.67
2015-01-01, 40.0532, -75.0197, WNW, 1.07
2015-01-01, 39.9746, -75.4387, NW, 0.56
2015-01-01, 40.4746, -74.8449, SE, 0.46
2015-01-01, 40.3171, -74.6872, NNW, 1.24
2015-01-01, 39.9639, -74.8841, SE, 1.4
2015-01-01, 39.6453, -75.7445, WSW, 0.84
2015-01-01, 42.35, -70.69, NNE, 6.58
2015-01-01, 42.51, -70.57, S, 8.29
2015-01-01, 41.4, -71.03, N, 0
2015-01-01, 32.1, -81.11, NNE, 1.5
2015-01-01, 31.6566, -87.1667, SSW, 4.88
2015-01-01, 31.657, -87.1649, SSW, 4.81
2015-01-01, 31.6444, -87.1801, ENE, 4.23
2015-01-01, 31.522, -87.3399, WNW, 0.6
2015-01-01, 31.57, -86.375, WNW, 3.52
2015-01-01, 31.715, -86.201, W, 1.85
2015-01-01, 33.6444, -114.6066, NNW, 1.73
2015-01-01, 33.6486, -114.5438, NE, 2.87
2015-01-01, 33.7081, -114.5157, E, 6.02
2015-01-01, 33.7272, -114.5757, NE, 3.16
2015-01-01, 34.0743, -114.505, NE, 20.7
2015-01-01, 34.0766, -114.4552, NE, 23.03
2015-01-01, 34.0214, -114.4614, NE, 20.34
2015-01-01, 34.0185, -114.5132, NE, 17.88
2015-01-01, 33.011, -112.3009, SSW, 3.24
2015-01-01, 33.0662, -112.3311, WNW, 3.71
2015-01-01, 33.0904, -112.2439, NNE, 3.17
2015-01-01, 33.0392, -112.2102, ESE, 3.54
2015-01-01, 38.9798, -86.8451, NW, 1.05
2015-01-01, 38.9807, -86.8446, NW, 1.08
2015-01-01, 38.9804, -86.8436, NW, 1.02
2015-01-01, 38.9794, -86.8441, NW, 1
2015-01-01, 47.18, -87.23, N, 0
2015-01-01, 33.9299, -112.0139, W, 38.12
2015-01-01, 34.5342, -111.2201, NNE, 8.38
2015-01-01, 33.2012, -88.1344, WNW, 0.27
2015-01-01, 33.43, -88.01, N, 3.5
2015-01-01, 32.4312, -88.3707, E, 0.55
2015-01-01, 32.437, -88.3615, ENE, 1.18
2015-01-01, 32.8062, -88.2937, WSW, 2.71
2015-01-01, 32.8211, -88.2822, W, 1.87
2015-01-01, 32.9596, -88.1268, NW, 3.85
2015-01-01, 32.9827, -88.1229, SSW, 2.9
2015-01-01, 33.7932, -88.2302, NNW, 4.7
2015-01-01, 33.79, -88.16, SW, 3.59
2015-01-01, 33.1243, -87.8438, NNE, 6.84
2015-01-01, 33.1277, -87.8384, NNE, 7.17
2015-01-01, 33.1277, -87.8384, NW, 6.67
2015-01-01, 33.1382, -87.8298, NNW, 7.01
2015-01-01, 34.1765, -87.9537, ENE, 1.57
2015-01-01, 34.1778, -87.9491, ENE, 1.85
2015-01-01, 34.04, -87.89, NW, 3.59
2015-01-01, 34.0625, -87.8678, NNW, 4.44
2015-01-01, 34.2039, -87.8546, NW, 3.9
2015-01-01, 33.21, -87.48, N, 0.69
2015-01-01, 34.2803, -87.6004, NW, 0.03
2015-01-01, 33.2403, -87.8594, SSE, 5.99
2015-01-01, 33.2322, -87.845, SSE, 6.85
2015-01-01, 33.2429, -87.8397, SSE, 6.36
2015-01-01, 33.248, -87.8528, SSE, 5.68
2015-01-01, 33.2388, -87.5981, NW, 1.67
2015-01-01, 32.9938, -87.6737, SW, 4.97
2015-01-01, 33.0526, -87.3633, NNW, 1.74
2015-01-01, 33.255, -87.4869, SW, 1.42
2015-01-01, 38.91, -77, N, 2.82
2015-01-01, 38.87, -77.01, N, 0
2015-01-01, 38.94, -76.44, N, 0
2015-01-01, 38.85, -76.54, WSW, 6.39
2015-01-01, 38.9, -76.44, N, 0
2015-01-01, 38.73, -76.54, SSW, 12.92
2015-01-01, 39.36, -76.37, ENE, 12.99
2015-01-01, 38.24, -76.83, WNW, 17.98
2015-01-01, 38.13, -76.53, N, 0
2015-01-01, 38.43, -76.39, N, 0
2015-01-01, 37.98, -76.04, N, 0
2015-01-01, 33.4232, -87.6055, ENE, 0.86
2015-01-01, 33.2466, -87.6905, NNE, 1.27
2015-01-01, 33.22, -87.62, N, 0
2015-01-01, 32.01, -81.1, SE, 1.81
2015-01-01, 32.06, -81.16, NW, 2.72
2015-01-01, 32.0572, -81.1851, SSE, 3.08
2015-01-01, 32.0365, -81.2301, NNE, 4.07
2015-01-01, 32.501, -79.099, NE, 0.09
2015-01-01, 40.9218, -73.8195, ENE, 0.56
2015-01-01, 40.9211, -73.8081, E, 1.15
2015-01-01, 40.9227, -73.8083, E, 1.15
2015-01-01, 40.9227, -73.819, ENE, 0.6
2015-01-01, 40.9161, -73.8131, ESE, 0.92
2015-01-01, 40.937, -73.8103, ENE, 1.14
2015-01-01, 40.9463, -73.8018, E, 1.49
2015-01-01, 40.9458, -73.7979, NW, 1.44
2015-01-01, 40.935, -73.805, WNW, 1.35
2015-01-01, 40.9309, -73.8008, W, 1.09
2015-01-01, 40.9152, -73.8108, ESE, 1.05
2015-01-01, 40.6986, -74.2468, ESE, 0.19
2015-01-01, 40.6971, -74.2462, SE, 0.28
2015-01-01, 40.6907, -74.2665, SSE, 0.67
2015-01-01, 40.6896, -74.2948, SSE, 0.77
2015-01-01, 40.6909, -74.2952, SSE, 0.68
2015-01-01, 47.33, -122.59, W, 0.47
2015-01-01, 31.8698, -102.3693, N, 1.37
2015-01-01, 31.8721, -102.37, N, 1.52
2015-01-01, 31.8723, -102.369, N, 1.54
